grid_id,district_name,base_year,target_year,year,risk_state,prediction_scope,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_056203,始兴县,2023,2024,2023,1,non_high_to_high,0.4330141956692718,-2.091417805432771,-0.0274682722507331,-0.6086787017766617,0.5163927172773786,1.0,high,NS,0,8,0.6685990712591812,0.9976459510357816,1
G_028016,浈江区,2023,2024,2023,1,non_high_to_high,0.3681763166052382,-10.43881112817974,-0.4140955707022556,-13.700031316580445,0.3782179705830341,0.4285714285714285,low,LL,0,7,0.6617682786800501,0.997489014438167,1
G_025977,武江区,2023,2024,2023,1,non_high_to_high,0.4354178253595387,-5.568427981451051,-0.2278163485650794,-7.69461067906733,0.4179596905728709,0.4285714285714285,low,LL,0,7,0.6421139598467167,0.9973320778405524,1
G_071625,南雄市,2023,2024,2023,1,non_high_to_high,0.3860662087988628,-9.664490066620209,-0.0661378848914679,-0.6086662933521403,0.4550794903552678,0.625,low,LL,0,8,0.6398468869572649,0.9971751412429378,1
G_035915,翁源县,2023,2024,2023,1,non_high_to_high,0.4237183335842985,-2.987216209283204,-0.1192452667784184,-3.460982521710973,0.479216981251371,0.875,mid,NS,0,8,0.6276867039271073,0.9970182046453233,1
G_072160,南雄市,2023,2024,2023,1,non_high_to_high,0.4211097872756051,-7.916768043675058,-0.025707859027874,0.0118012830083173,0.4068718315226671,0.5714285714285714,low,LL,0,7,0.6219633008948636,0.9968612680477087,1
G_075720,南雄市,2023,2024,2023,1,non_high_to_high,0.4353226799047897,0.782660338050302,-0.0763763665558933,-0.123292844087302,0.4654521977295447,0.6,low,NS,0,5,0.6072378185634986,0.9967043314500942,1
G_024389,武江区,2023,2024,2023,1,non_high_to_high,0.4042158094825598,-9.797445349668756,-0.1544595734880218,-4.363073617507885,0.4006000156113518,0.25,low,LL,0,8,0.6053699369542529,0.9965473948524796,1
G_074264,南雄市,2023,2024,2023,1,non_high_to_high,0.4306355243976257,0.7190870960573329,-0.0906833973935439,-0.2400929688509553,0.4686067377812503,0.8,mid,NS,0,5,0.5899559520612431,0.996390458254865,1
G_055367,翁源县,2023,2024,2023,1,non_high_to_high,0.417185023457983,-7.325313521204953,-0.1123125419970457,-2.849693947888867,0.3950322192781421,0.0,low,LL,0,8,0.5839537744438571,0.9962335216572504,1
G_059320,新丰县,2023,2024,2023,1,non_high_to_high,0.4245520244989367,-3.5176445323310785,-0.0927659479413214,-1.8079679529729025,0.3776484906714867,0.25,low,LL,0,8,0.5829957682474958,0.9960765850596359,1
G_071768,南雄市,2023,2024,2023,1,non_high_to_high,0.3744724105097866,-9.561272380956945,-0.0877676294277412,-1.844562302075632,0.414004916718702,0.375,low,LL,0,8,0.5826176949157085,0.9959196484620213,1
G_028198,曲江区,2023,2024,2023,1,non_high_to_high,0.4319864046885249,-5.372272172091897,-0.0947799359516544,-1.9514736697659525,0.4754871773907172,0.625,low,NS,0,8,0.5824190995617613,0.9957627118644068,1
G_012457,乳源瑶族自治县,2023,2024,2023,1,non_high_to_high,0.4337918738043937,-3.3892712222077863,-0.0927674133305981,-2.167709182916453,0.516284023657591,0.7142857142857143,low,NS,0,7,0.5806057328294318,0.9956057752667922,1
G_071623,南雄市,2023,2024,2023,1,non_high_to_high,0.3976168126176459,-8.738696385577445,-0.0333901057251893,0.6461957428287199,0.4131604090988257,0.625,low,LL,0,8,0.575278673397541,0.9954488386691777,1
G_058564,始兴县,2023,2024,2023,1,non_high_to_high,0.3939622386612683,-8.10861336733792,-0.1087516367386713,-2.1999323085010074,0.4259183403509575,0.25,low,LL,0,8,0.5666615345672971,0.995291902071563,1
G_075509,南雄市,2023,2024,2023,1,non_high_to_high,0.4354846647742527,0.5999988151714073,-0.0736416308062397,-0.1302091427854462,0.4895986550484899,0.5714285714285714,low,NS,0,7,0.5636458412707079,0.9951349654739485,1
G_060288,新丰县,2023,2024,2023,1,non_high_to_high,0.4017318213171575,-9.283234975423262,0.0233583481896803,2.7347973286174376,0.3102522426813231,0.125,low,LL,0,8,0.5586820069199002,0.9949780288763339,1
G_037690,翁源县,2023,2024,2023,1,non_high_to_high,0.4285940622061159,-2.635590424274813,-0.0699639685507718,-1.5219829838423142,0.4277443341648183,0.5714285714285714,low,LL,0,7,0.5508698792710774,0.9948210922787194,1
G_058359,新丰县,2023,2024,2023,1,non_high_to_high,0.4194800366160526,-4.198893521540544,-0.0839066413223238,-1.2163692717329573,0.4625652450472788,0.75,low,NS,0,8,0.5502694509672128,0.9946641556811049,1
G_027989,曲江区,2023,2024,2023,1,non_high_to_high,0.4347932291260362,-3.719618755756581,-0.0802695032280758,-1.50201834611603,0.4414886037109965,0.4285714285714285,low,NS,0,7,0.5458752492556977,0.9945072190834903,1
G_036480,翁源县,2023,2024,2023,1,non_high_to_high,0.3820626227258224,-6.704355167873771,-0.1761277833193995,-4.892065736578827,0.5134277666889577,0.875,mid,NS,0,8,0.5448703068904542,0.9943502824858758,1
G_020132,乐昌市,2023,2024,2023,1,non_high_to_high,0.4360546712694874,-1.1390289435881484,-0.0739546034216658,-1.0194983195153169,0.4753528063123421,0.875,mid,NS,0,8,0.5414053039859734,0.9941933458882611,1
G_029695,曲江区,2023,2024,2023,1,non_high_to_high,0.4256190980195792,-5.993908317127051,-0.1063838506472234,-2.503794119567409,0.4794515643824398,0.5714285714285714,low,NS,0,7,0.5411216914166361,0.9940364092906466,1
G_026973,曲江区,2023,2024,2023,1,non_high_to_high,0.4266472601797202,-6.991264872806305,-0.054564124616358,-0.3346550953994907,0.4142335503148936,0.5,low,LL,0,8,0.5352288707703245,0.993879472693032,1
G_071906,南雄市,2023,2024,2023,1,non_high_to_high,0.3949614926973098,-8.044680371680435,-0.0895051969518322,-2.03350740704558,0.4935060833808202,0.875,mid,NS,0,8,0.533572926612921,0.9937225360954175,1
G_074157,南雄市,2023,2024,2023,1,non_high_to_high,0.4286867281713705,0.6936233278639693,-0.0649043960580241,-0.14682888992412,0.4498196659819324,0.8,mid,NS,0,5,0.5333689968282807,0.9935655994978029,1
G_069911,南雄市,2023,2024,2023,1,non_high_to_high,0.4302463324911846,0.7334218396800649,-0.018541676837102,0.06152433252925,0.4274068118819174,0.25,low,LL,0,8,0.532199859562363,0.9934086629001884,1
G_023977,武江区,2023,2024,2023,1,non_high_to_high,0.4268649076412614,-4.954509213264458,-0.0984478134460785,-1.5992427469967256,0.3976848692837434,0.625,low,LL,0,8,0.5288451430904701,0.9932517263025737,1
G_069912,南雄市,2023,2024,2023,1,non_high_to_high,0.4317631699988313,0.7717829445109622,-0.0208814360288085,0.0175767083205344,0.4267913335053807,0.1666666666666666,low,NS,0,6,0.5274399625833283,0.9930947897049592,1
G_075823,南雄市,2023,2024,2023,1,non_high_to_high,0.4267015154976353,0.6798249407177702,-0.0865815066251259,-0.2570089058192347,0.4600003897317257,0.5,low,NS,0,4,0.5250452753323336,0.9929378531073446,1
G_026182,武江区,2023,2024,2023,1,non_high_to_high,0.4192272978248906,-8.074688302179839,-0.0109419999273356,0.5973290409952678,0.3306755567729463,0.25,low,LL,0,8,0.5142950337411872,0.9927809165097301,1
G_033019,仁化县,2023,2024,2023,1,non_high_to_high,0.3933484064037462,-5.5985424970114765,-0.1450397628183685,-3.051582167867436,0.5000807432643464,0.75,low,NS,0,8,0.5128387158635971,0.9926239799121155,1
G_023350,武江区,2023,2024,2023,1,non_high_to_high,0.4285449641663611,-4.395256492641705,-0.0669614438074893,-0.8982314155463671,0.4764166550613496,0.5714285714285714,low,NS,0,7,0.5126725264679521,0.992467043314501,1
G_027790,曲江区,2023,2024,2023,1,non_high_to_high,0.4252219494897208,-3.8901431431333457,-0.0768843072604934,-1.1857971413651025,0.4611771031221827,0.75,low,NS,0,8,0.509523525100816,0.9923101067168864,1
G_058101,翁源县,2023,2024,2023,1,non_high_to_high,0.4216901102654238,-4.633507688510377,-0.0076900734821078,0.7264792716828703,0.4476382296697998,0.5,low,LL,0,8,0.5051219484240974,0.9921531701192718,1
G_019431,乐昌市,2023,2024,2023,1,non_high_to_high,0.3979149040144721,-7.76262257761551,-0.0879471327025759,-1.7753156648973611,0.4061935885916037,0.625,low,LL,0,8,0.5040549137900078,0.9919962335216572,1
G_073943,南雄市,2023,2024,2023,1,non_high_to_high,0.4288061502424676,0.6701888451580663,-0.0469679839101624,-0.0064382950447141,0.4481327968670031,0.8,mid,NS,0,5,0.5014148090515684,0.9918392969240427,1
G_057900,始兴县,2023,2024,2023,1,non_high_to_high,0.4082853972814995,-8.17575209851509,-0.0699723306053696,-0.3187621712501238,0.4204257557617695,0.375,low,LL,0,8,0.499060654121791,0.9916823603264281,1
G_052437,南雄市,2023,2024,2023,1,non_high_to_high,0.4314255092350539,0.7707361657467529,-0.0398098842199313,-0.1134246656569467,0.4176298034884761,0.0,low,NS,0,2,0.4977666125186973,0.9915254237288136,1
G_056407,翁源县,2023,2024,2023,1,non_high_to_high,0.4348581999786124,-5.947752042740964,-0.0426956069264573,-0.8595926820849167,0.4732811805880557,0.7142857142857143,low,NS,0,7,0.4971395088916022,0.991368487131199,1
G_062366,始兴县,2023,2024,2023,1,non_high_to_high,0.4278226892178941,-1.4309780874991271,-0.0684526932971714,-1.363327657010365,0.5631260377619546,1.0,high,NS,0,8,0.496284276203065,0.9912115505335845,1
G_076748,南雄市,2023,2024,2023,1,non_high_to_high,0.4325305883478406,0.5343602337643658,-0.0369587656730986,-0.2816804032473476,0.5565267514387606,0.8571428571428571,mid,NS,0,7,0.49577470504597704,0.9910546139359698,1
G_076904,南雄市,2023,2024,2023,1,non_high_to_high,0.4348802595976833,0.5958706234285983,-0.0121574457295867,0.0404289171329576,0.5237749090042872,0.8571428571428571,mid,NS,0,7,0.49538107915879454,0.9908976773383553,1
G_067422,始兴县,2023,2024,2023,1,non_high_to_high,0.4333127503139887,0.7777337371387006,-0.0757530921482146,0.0130636497631517,0.4101451978449676,0.0,low,LL,0,5,0.4946193122876822,0.9907407407407407,1
G_026539,曲江区,2023,2024,2023,1,non_high_to_high,0.4305395287018459,-1.4359706660229796,-0.1235642086727563,-1.919737748640411,0.4948223658250107,0.7142857142857143,low,NS,0,7,0.4945330958786279,0.9905838041431262,1
G_025382,武江区,2023,2024,2023,1,non_high_to_high,0.4313986720330553,-6.014121458829438,-0.0307131765444388,0.4423415746830805,0.3722959611739067,0.25,low,LL,0,8,0.49356671556216863,0.9904268675455116,1
G_053827,南雄市,2023,2024,2023,1,non_high_to_high,0.4339556568216819,0.5737911895925003,-0.0261305534547428,-0.2477130348298643,0.4351230609969335,0.375,low,LL,0,8,0.4917329655653949,0.9902699309478971,1
G_077761,南雄市,2023,2024,2023,1,non_high_to_high,0.4290614769526485,0.6345582623429508,-0.0321114964977715,-0.0926255963453076,0.503638007326607,0.8333333333333334,mid,NS,0,6,0.491254713077193,0.9901129943502824,1
G_028430,浈江区,2023,2024,2023,1,non_high_to_high,0.4134389409722192,-5.240575791451294,-0.1037583921597319,-2.2343173441129305,0.4191944716758407,0.1666666666666666,low,LL,0,6,0.4905064278823425,0.9899560577526679,1
G_053900,新丰县,2023,2024,2023,1,non_high_to_high,0.4293273033297604,-2.944045290962602,0.0064809423921474,1.4630075956082114,0.4617321056638237,0.5,low,NS,0,6,0.4903880954945187,0.9897991211550533,1
G_028192,曲江区,2023,2024,2023,1,non_high_to_high,0.4342770730348422,-1.5112267987545909,-0.0938256813595007,-1.1114493358216044,0.4396007706262899,0.375,low,NS,0,8,0.49005730162224836,0.9896421845574388,1
G_076042,南雄市,2023,2024,2023,1,non_high_to_high,0.4331244678955095,0.5538846408514682,-0.0223238369925444,-0.0500971365265326,0.4923643822226907,0.875,mid,NS,0,8,0.48906636657030667,0.9894852479598242,1
G_023135,武江区,2023,2024,2023,1,non_high_to_high,0.4302329846178357,-2.274684077398756,-0.0770528994001935,-1.0645794257438828,0.4777170892848804,0.5,low,NS,0,8,0.488236358623363,0.9893283113622097,1
G_023987,武江区,2023,2024,2023,1,non_high_to_high,0.4285361821814083,-2.537234131861714,-0.082832305945071,-1.5701850036081937,0.4816288283643553,0.75,low,NS,0,8,0.48753660602338306,0.9891713747645952,1
G_049602,始兴县,2023,2024,2023,1,non_high_to_high,0.4327887857758657,0.254318994615425,-0.0303463286274199,0.092761752933251,0.472395644443888,0.7142857142857143,low,NS,0,7,0.4870854097186879,0.9890144381669805,1
G_070080,南雄市,2023,2024,2023,1,non_high_to_high,0.4324651141674432,0.7056662634219775,-0.0197111371795237,0.1544659912600198,0.4305359050911255,0.4,low,NS,0,5,0.4868976152344504,0.988857501569366,1
G_035365,翁源县,2023,2024,2023,1,non_high_to_high,0.4276809857203494,-0.6320591991765028,-0.0410493556487385,-0.0150852146968684,0.5022661576968085,0.75,low,NS,0,8,0.48655623015735305,0.9887005649717514,1
