grid_id,district_name,base_year,target_year,year,risk_state,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_059968,新丰县,2023,2024,2023,0,0.2120930019087573,-14.988261580315363,-0.5735830816318015,-18.362036271620344,0.2813899663062406,0.125,low,LL,0,8,0.10660923325908495,0.7307692307692308,0
G_028431,浈江区,2023,2024,2023,0,0.267490911782535,-5.604438742345687,-0.1125592692381544,-2.0075812494289287,0.3951864671293559,0.1666666666666666,low,LL,0,6,0.10458030512940449,0.7252747252747253,0
G_026390,浈江区,2023,2024,2023,0,0.2919590054470686,-4.821131376589232,-0.1032130816271408,-0.930072720915212,0.4635201784486099,0.5,low,LL,0,6,0.10233424544368196,0.7197802197802198,0
G_024977,武江区,2023,2024,2023,0,0.3018987854274359,-9.645107385396312,-0.0773383052086293,-0.1228122837399041,0.3072654774065338,0.0,low,LL,0,8,0.10131520950329517,0.7142857142857143,0
G_060286,新丰县,2023,2024,2023,0,0.1729790461213635,-12.85610196081728,0.0407557950444555,6.2122751575784285,0.2457858987880336,0.0,low,LL,0,8,0.10113987562600989,0.7087912087912087,0
G_059646,新丰县,2023,2024,2023,0,0.2697668553537146,-9.444398668406729,0.0435324567606967,4.354197707043408,0.2455384636149601,0.0,low,LL,0,8,0.10039339550437845,0.7032967032967032,0
G_059967,新丰县,2023,2024,2023,0,0.1535867515857096,-16.857068075519273,-0.1046649433010858,-0.2961918523958999,0.1846198219004431,0.0,low,LL,0,8,0.0985305153882571,0.6978021978021978,0
G_029249,曲江区,2023,2024,2023,0,0.1688626926919625,-13.42359243168282,-0.1206383177275368,-0.4591762077408532,0.3595512985216589,0.25,low,LL,0,8,0.09788000943383275,0.6923076923076923,0
G_019900,乐昌市,2023,2024,2023,0,0.3090079481081726,-3.3902271415857217,-0.1255093275509817,-2.3478485822253328,0.3921703159433233,0.4285714285714285,low,LL,0,7,0.09703179045806212,0.6868131868131868,0
G_059323,新丰县,2023,2024,2023,0,0.1752734312837645,-15.287517136380917,-0.1172258674818099,-0.7318817144810463,0.2587542404628451,0.125,low,LL,0,8,0.09660750462856192,0.6813186813186813,0
G_027376,曲江区,2023,2024,2023,0,0.2792103466582836,-7.770096487864178,-0.0702733857061865,-0.1436681911009802,0.3393300970995319,0.125,low,LL,0,8,0.09592181703032228,0.6758241758241759,0
G_024780,武江区,2023,2024,2023,0,0.2987165544640187,-10.731831012630453,-0.1068686280169168,-1.2511976173820312,0.2644057933510002,0.0,low,LL,0,8,0.09505517368313615,0.6703296703296704,0
